                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.8451,                0.59614,                 1.9586,                0.99402,                0.98922,                0.99492,                0.74688,                 1.9352,                 0.5963,                 1.9976,               0.000218,               0.000218,               0.000218
                     92,                  1.809,                0.58941,                 1.9548,                0.99399,                0.98394,                0.99482,                0.74869,                 1.9438,                0.60405,                 2.0025,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7941,                0.58253,                 1.9522,                0.99559,                0.99206,                0.99498,                0.74198,                 1.9674,                 0.5994,                 2.0143,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7935,                0.58006,                 1.9486,                0.99014,                0.98413,                0.99478,                0.74462,                 1.9451,                0.60103,                 2.0102,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.7744,                0.57489,                 1.9487,                0.99121,                 0.9881,                0.99476,                0.75125,                 1.9411,                 0.5962,                 1.9936,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.7697,                0.56722,                 1.9432,                0.98809,                0.98751,                0.99468,                 0.7499,                 1.9355,                0.59596,                 1.9936,               0.000119,               0.000119,               0.000119
                     97,                 1.7524,                0.57507,                 1.9287,                0.99467,                0.99008,                0.99496,                0.74591,                 1.9357,                0.58544,                 1.9949,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.7566,                0.56781,                 1.9335,                0.99363,                 0.9881,                0.99478,                0.75242,                 1.9267,                0.58565,                 1.9878,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7519,                0.56585,                 1.9324,                  0.998,                0.98917,                0.99498,                0.74756,                 1.9259,                0.57827,                 1.9899,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.7419,                0.56904,                 1.9313,                0.99206,                0.99212,                0.99492,                0.74855,                 1.9337,                 0.5831,                 1.9919,               3.98e-05,               3.98e-05,               3.98e-05
